Tsi,Ion,empty ,sensitivity,,Vth,empty,sensitivity
10.02414631,1.42E-06,8.37E-13,1.70E+06,,0.170411573,0.270993644,0.371160259
10.02428918,1.42E-06,8.37E-13,1.70E+06,,0.170413883,0.270993644,0.371151735
10.02443206,1.42E-06,8.37E-13,1.70E+06,,0.170416192,0.270993644,0.371143215
10.02457494,1.42E-06,8.37E-13,1.70E+06,,0.170418502,0.270993644,0.37113469
10.02471782,1.42E-06,8.37E-13,1.70E+06,,0.170420812,0.270993644,0.371126166
10.02486069,1.42E-06,8.37E-13,1.70E+06,,0.170423122,0.270993644,0.371117642
10.02500357,1.42E-06,8.37E-13,1.70E+06,,0.170425432,0.270993644,0.371109118
10.02514645,1.42E-06,8.37E-13,1.70E+06,,0.170427742,0.270993644,0.371100594
10.02528933,1.42E-06,8.37E-13,1.70E+06,,0.170430052,0.270993644,0.371092069
10.0254322,1.42E-06,8.37E-13,1.70E+06,,0.170432362,0.270993644,0.371083545
10.02557508,1.42E-06,8.37E-13,1.70E+06,,0.170434672,0.270993644,0.371075021
10.02571796,1.42E-06,8.37E-13,1.70E+06,,0.170436981,0.270993644,0.371066501
10.02586084,1.42E-06,8.37E-13,1.70E+06,,0.170439291,0.270993644,0.371057976
10.02600371,1.42E-06,8.37E-13,1.70E+06,,0.170441601,0.270993644,0.371049452
10.02614659,1.42E-06,8.37E-13,1.70E+06,,0.170443911,0.270993644,0.371040928
10.02628947,1.42E-06,8.37E-13,1.70E+06,,0.170446221,0.270993644,0.371032404
10.02643235,1.42E-06,8.37E-13,1.70E+06,,0.170448531,0.270993644,0.37102388
10.02657523,1.42E-06,8.37E-13,1.70E+06,,0.170450841,0.270993644,0.371015355
10.0267181,1.42E-06,8.37E-13,1.70E+06,,0.170453151,0.270993644,0.371006831
10.02686098,1.42E-06,8.37E-13,1.70E+06,,0.170455461,0.270993644,0.370998307
10.02700386,1.42E-06,8.37E-13,1.70E+06,,0.170457771,0.270993644,0.370989783
10.02714674,1.42E-06,8.37E-13,1.70E+06,,0.17046008,0.270993644,0.370981262
10.02728961,1.42E-06,8.37E-13,1.70E+06,,0.17046239,0.270993644,0.370972738
10.02743249,1.42E-06,8.37E-13,1.70E+06,,0.1704647,0.270993644,0.370964214
10.02757537,1.42E-06,8.37E-13,1.70E+06,,0.17046701,0.270993644,0.37095569
10.02771825,1.42E-06,8.37E-13,1.70E+06,,0.17046932,0.270993644,0.370947166
10.02786112,1.42E-06,8.37E-13,1.70E+06,,0.17047163,0.270993644,0.370938641
10.028004,1.42E-06,8.37E-13,1.70E+06,,0.17047394,0.270993644,0.370930117
10.02814688,1.42E-06,8.37E-13,1.70E+06,,0.17047625,0.270993644,0.370921593
10.02828976,1.42E-06,8.37E-13,1.70E+06,,0.17047856,0.270993644,0.370913069
10.02843263,1.42E-06,8.37E-13,1.70E+06,,0.17048087,0.270993644,0.370904545
10.02857551,1.42E-06,8.37E-13,1.70E+06,,0.170483179,0.270993644,0.370896024
10.02871839,1.42E-06,8.37E-13,1.70E+06,,0.170485489,0.270993644,0.3708875
10.02886127,1.42E-06,8.37E-13,1.70E+06,,0.170487799,0.270993644,0.370878976
10.02900414,1.42E-06,8.37E-13,1.70E+06,,0.170490109,0.270993644,0.370870452
10.02914702,1.42E-06,8.37E-13,1.70E+06,,0.170492419,0.270993644,0.370861928
10.0292899,1.41E-06,8.37E-13,1.68E+06,,0.170494729,0.270993644,0.370853403
10.02943278,1.41E-06,8.37E-13,1.68E+06,,0.170497039,0.270993644,0.370844879
10.02957565,1.41E-06,8.37E-13,1.68E+06,,0.170499349,0.270993644,0.370836355
10.02971853,1.41E-06,8.37E-13,1.68E+06,,0.170501659,0.270993644,0.370827831
