C.Length,Ion,ion_air,ion_sensitivity,,Vth,vth_air,vth_sensitivity
243.1800257,9.83E-07,5.19E-14,1.89E+07,,0.17433805,0.42959254,0.594178125
243.1821689,9.83E-07,5.19E-14,1.89E+07,,0.174338556,0.42959254,0.594176947
243.184312,9.83E-07,5.19E-14,1.89E+07,,0.174339062,0.42959254,0.594175769
243.1864552,9.83E-07,5.19E-14,1.89E+07,,0.174339568,0.42959254,0.594174591
243.1885984,9.83E-07,5.19E-14,1.89E+07,,0.174340074,0.42959254,0.594173413
243.1907415,9.83E-07,5.19E-14,1.89E+07,,0.17434058,0.42959254,0.594172236
243.1928847,9.83E-07,5.19E-14,1.89E+07,,0.174341086,0.42959254,0.594171058
243.1950279,9.83E-07,5.19E-14,1.89E+07,,0.174341592,0.42959254,0.59416988
243.197171,9.83E-07,5.19E-14,1.89E+07,,0.174342098,0.42959254,0.594168702
243.1993142,9.83E-07,5.19E-14,1.89E+07,,0.174342604,0.42959254,0.594167524
243.2014574,9.83E-07,5.19E-14,1.89E+07,,0.17434311,0.42959254,0.594166346
243.2036005,9.83E-07,5.19E-14,1.89E+07,,0.174343616,0.42959254,0.594165168
243.2057437,9.83E-07,5.19E-14,1.89E+07,,0.174344122,0.42959254,0.594163991
243.2078868,9.83E-07,5.19E-14,1.89E+07,,0.174344628,0.42959254,0.594162813
243.21003,9.83E-07,5.19E-14,1.89E+07,,0.174345134,0.42959254,0.594161635
243.2121732,9.83E-07,5.19E-14,1.89E+07,,0.17434564,0.42959254,0.594160457
243.2143163,9.83E-07,5.19E-14,1.89E+07,,0.174346146,0.42959254,0.594159279
243.2164595,9.83E-07,5.19E-14,1.89E+07,,0.174346652,0.42959254,0.594158101
243.2186027,9.83E-07,5.19E-14,1.89E+07,,0.174347158,0.42959254,0.594156923
243.2207458,9.83E-07,5.19E-14,1.89E+07,,0.174347664,0.42959254,0.594155746
243.222889,9.83E-07,5.19E-14,1.89E+07,,0.17434817,0.42959254,0.594154568
243.2250321,9.83E-07,5.19E-14,1.89E+07,,0.174348676,0.42959254,0.59415339
243.2271753,9.83E-07,5.19E-14,1.89E+07,,0.174349182,0.42959254,0.594152212
243.2293185,9.83E-07,5.19E-14,1.89E+07,,0.174349689,0.42959254,0.594151032
243.2314616,9.83E-07,5.19E-14,1.89E+07,,0.174350195,0.42959254,0.594149854
243.2336048,9.83E-07,5.19E-14,1.89E+07,,0.174350701,0.42959254,0.594148676
243.235748,9.83E-07,5.19E-14,1.89E+07,,0.174351207,0.42959254,0.594147498
243.2378911,9.83E-07,5.19E-14,1.89E+07,,0.174351713,0.42959254,0.59414632
243.2400343,9.83E-07,5.19E-14,1.89E+07,,0.174352219,0.42959254,0.594145142
243.2421775,9.83E-07,5.19E-14,1.89E+07,,0.174352725,0.42959254,0.594143965
243.2443206,9.83E-07,5.19E-14,1.89E+07,,0.174353231,0.42959254,0.594142787
243.2464638,9.83E-07,5.19E-14,1.89E+07,,0.174353737,0.42959254,0.594141609
243.2486069,9.83E-07,5.19E-14,1.89E+07,,0.174354243,0.42959254,0.594140431
243.2507501,9.83E-07,5.19E-14,1.89E+07,,0.174354749,0.42959254,0.594139253
243.2528933,9.83E-07,5.19E-14,1.89E+07,,0.174355255,0.42959254,0.594138075
243.2550364,9.83E-07,5.19E-14,1.89E+07,,0.174355761,0.42959254,0.594136897
243.2571796,9.83E-07,5.19E-14,1.89E+07,,0.174356267,0.42959254,0.59413572
243.2593228,9.83E-07,5.19E-14,1.89E+07,,0.174356773,0.42959254,0.594134542
243.2614659,9.83E-07,5.19E-14,1.89E+07,,0.174357279,0.42959254,0.594133364
243.2636091,9.83E-07,5.19E-14,1.89E+07,,0.174357785,0.42959254,0.594132186
243.2657523,9.83E-07,5.19E-14,1.89E+07,,0.174358291,0.42959254,0.594131008
243.2678954,9.83E-07,5.19E-14,1.89E+07,,0.174358797,0.42959254,0.59412983
243.2700386,9.82E-07,5.19E-14,1.89E+07,,0.174359303,0.42959254,0.594128652
243.2721817,9.82E-07,5.19E-14,1.89E+07,,0.174359809,0.42959254,0.594127475
243.2743249,9.82E-07,5.19E-14,1.89E+07,,0.174360315,0.42959254,0.594126297
243.2764681,9.82E-07,5.19E-14,1.89E+07,,0.174360821,0.42959254,0.594125119
243.2786112,9.82E-07,5.19E-14,1.89E+07,,0.174361327,0.42959254,0.594123941
243.2807544,9.82E-07,5.19E-14,1.89E+07,,0.174361833,0.42959254,0.594122763
243.2828976,9.82E-07,5.19E-14,1.89E+07,,0.174362339,0.42959254,0.594121585
243.2850407,9.82E-07,5.19E-14,1.89E+07,,0.174362845,0.42959254,0.594120407
243.2871839,9.82E-07,5.19E-14,1.89E+07,,0.174363351,0.42959254,0.59411923
243.289327,9.82E-07,5.19E-14,1.89E+07,,0.174363857,0.42959254,0.594118052
243.2914702,9.82E-07,5.19E-14,1.89E+07,,0.174364363,0.42959254,0.594116874
243.2936134,9.82E-07,5.19E-14,1.89E+07,,0.17436487,0.42959254,0.594115694
243.2957565,9.82E-07,5.19E-14,1.89E+07,,0.174365376,0.42959254,0.594114516
243.2978997,9.82E-07,5.19E-14,1.89E+07,,0.174365882,0.42959254,0.594113338
243.3000429,9.82E-07,5.19E-14,1.89E+07,,0.174366388,0.42959254,0.59411216
243.302186,9.82E-07,5.19E-14,1.89E+07,,0.174366894,0.42959254,0.594110982
243.3043292,9.82E-07,5.19E-14,1.89E+07,,0.1743674,0.42959254,0.594109804
243.3064724,9.82E-07,5.19E-14,1.89E+07,,0.174367906,0.42959254,0.594108626
243.3086155,9.82E-07,5.19E-14,1.89E+07,,0.174368412,0.42959254,0.594107449
243.3107587,9.82E-07,5.19E-14,1.89E+07,,0.174368918,0.42959254,0.594106271
243.3129018,9.82E-07,5.19E-14,1.89E+07,,0.174369424,0.42959254,0.594105093
243.315045,9.82E-07,5.19E-14,1.89E+07,,0.17436993,0.42959254,0.594103915
243.3171882,9.82E-07,5.19E-14,1.89E+07,,0.174370436,0.42959254,0.594102737
243.3193313,9.82E-07,5.19E-14,1.89E+07,,0.174370942,0.42959254,0.594101559
243.3214745,9.82E-07,5.19E-14,1.89E+07,,0.174371448,0.42959254,0.594100381
243.3236177,9.82E-07,5.19E-14,1.89E+07,,0.174371954,0.42959254,0.594099204
243.3257608,9.82E-07,5.19E-14,1.89E+07,,0.17437246,0.42959254,0.594098026
243.327904,9.82E-07,5.19E-14,1.89E+07,,0.174372966,0.42959254,0.594096848
243.3300471,9.82E-07,5.19E-14,1.89E+07,,0.174373472,0.42959254,0.59409567
243.3321903,9.82E-07,5.19E-14,1.89E+07,,0.174373978,0.42959254,0.594094492
243.3343335,9.82E-07,5.19E-14,1.89E+07,,0.174374484,0.42959254,0.594093314
243.3364766,9.82E-07,5.19E-14,1.89E+07,,0.17437499,0.42959254,0.594092136
243.3386198,9.82E-07,5.19E-14,1.89E+07,,0.174375496,0.42959254,0.594090959
243.340763,9.82E-07,5.19E-14,1.89E+07,,0.174376002,0.42959254,0.594089781
243.3429061,9.82E-07,5.19E-14,1.89E+07,,0.174376508,0.42959254,0.594088603
243.3450493,9.82E-07,5.19E-14,1.89E+07,,0.174377014,0.42959254,0.594087425
243.3471925,9.82E-07,5.19E-14,1.89E+07,,0.17437752,0.42959254,0.594086247
243.3493356,9.82E-07,5.19E-14,1.89E+07,,0.174378026,0.42959254,0.594085069
243.3514788,9.82E-07,5.19E-14,1.89E+07,,0.174378532,0.42959254,0.594083891
243.3536219,9.82E-07,5.19E-14,1.89E+07,,0.174379038,0.42959254,0.594082714
243.3557651,9.82E-07,5.19E-14,1.89E+07,,0.174379544,0.42959254,0.594081536
243.3579083,9.82E-07,5.19E-14,1.89E+07,,0.174380051,0.42959254,0.594080355
243.3600514,9.82E-07,5.19E-14,1.89E+07,,0.174380557,0.42959254,0.594079178
243.3621946,9.82E-07,5.19E-14,1.89E+07,,0.174381063,0.42959254,0.594078
243.3643378,9.82E-07,5.19E-14,1.89E+07,,0.174381569,0.42959254,0.594076822
243.3664809,9.82E-07,5.19E-14,1.89E+07,,0.174382075,0.42959254,0.594075644
243.3686241,9.82E-07,5.19E-14,1.89E+07,,0.174382581,0.42959254,0.594074466
243.3707673,9.82E-07,5.19E-14,1.89E+07,,0.174383087,0.42959254,0.594073288
243.3729104,9.82E-07,5.19E-14,1.89E+07,,0.174383593,0.42959254,0.59407211
243.3750536,9.82E-07,5.19E-14,1.89E+07,,0.174384099,0.42959254,0.594070933
243.3771967,9.82E-07,5.19E-14,1.89E+07,,0.174384605,0.42959254,0.594069755
243.3793399,9.82E-07,5.19E-14,1.89E+07,,0.174385111,0.42959254,0.594068577
243.3814831,9.82E-07,5.19E-14,1.89E+07,,0.174385617,0.42959254,0.594067399
243.3836262,9.82E-07,5.19E-14,1.89E+07,,0.174386123,0.42959254,0.594066221
243.3857694,9.82E-07,5.19E-14,1.89E+07,,0.174386629,0.42959254,0.594065043
243.3879126,9.82E-07,5.19E-14,1.89E+07,,0.174387135,0.42959254,0.594063865
243.3900557,9.82E-07,5.19E-14,1.89E+07,,0.174387641,0.42959254,0.594062688
243.3921989,9.82E-07,5.19E-14,1.89E+07,,0.174388147,0.42959254,0.59406151
243.394342,9.82E-07,5.19E-14,1.89E+07,,0.174388653,0.42959254,0.594060332
243.3964852,9.82E-07,5.19E-14,1.89E+07,,0.174389159,0.42959254,0.594059154
243.3986284,9.82E-07,5.19E-14,1.89E+07,,0.174389665,0.42959254,0.594057976
243.4007715,9.82E-07,5.19E-14,1.89E+07,,0.174390171,0.42959254,0.594056798
243.4029147,9.82E-07,5.19E-14,1.89E+07,,0.174390677,0.42959254,0.59405562
243.4050579,9.82E-07,5.19E-14,1.89E+07,,0.174391183,0.42959254,0.594054443
243.407201,9.82E-07,5.19E-14,1.89E+07,,0.174391689,0.42959254,0.594053265
243.4093442,9.82E-07,5.19E-14,1.89E+07,,0.174392195,0.42959254,0.594052087
243.4114874,9.82E-07,5.19E-14,1.89E+07,,0.174392701,0.42959254,0.594050909
243.4136305,9.82E-07,5.19E-14,1.89E+07,,0.174393207,0.42959254,0.594049731
243.4157737,9.82E-07,5.19E-14,1.89E+07,,0.174393713,0.42959254,0.594048553
243.4179168,9.82E-07,5.19E-14,1.89E+07,,0.174394219,0.42959254,0.594047375
243.42006,9.82E-07,5.19E-14,1.89E+07,,0.174394725,0.42959254,0.594046198
243.4222032,9.82E-07,5.19E-14,1.89E+07,,0.174395232,0.42959254,0.594045017
243.4243463,9.82E-07,5.19E-14,1.89E+07,,0.174395738,0.42959254,0.594043839
243.4264895,9.82E-07,5.19E-14,1.89E+07,,0.174396244,0.42959254,0.594042662
243.4286327,9.82E-07,5.19E-14,1.89E+07,,0.17439675,0.42959254,0.594041484
243.4307758,9.82E-07,5.19E-14,1.89E+07,,0.174397256,0.42959254,0.594040306
243.432919,9.82E-07,5.19E-14,1.89E+07,,0.174397762,0.42959254,0.594039128
243.4350622,9.82E-07,5.19E-14,1.89E+07,,0.174398268,0.42959254,0.59403795
243.4372053,9.82E-07,5.19E-14,1.89E+07,,0.174398774,0.42959254,0.594036772
243.4393485,9.82E-07,5.19E-14,1.89E+07,,0.17439928,0.42959254,0.594035594
243.4414916,9.82E-07,5.19E-14,1.89E+07,,0.174399786,0.42959254,0.594034417
243.4436348,9.82E-07,5.19E-14,1.89E+07,,0.174400292,0.42959254,0.594033239
243.445778,9.82E-07,5.19E-14,1.89E+07,,0.174400798,0.42959254,0.594032061
243.4479211,9.82E-07,5.19E-14,1.89E+07,,0.174401304,0.42959254,0.594030883
243.4500643,9.82E-07,5.19E-14,1.89E+07,,0.17440181,0.42959254,0.594029705
243.4522075,9.82E-07,5.19E-14,1.89E+07,,0.174402316,0.42959254,0.594028527
243.4543506,9.81E-07,5.19E-14,1.89E+07,,0.174402822,0.42959254,0.594027349
243.4564938,9.81E-07,5.19E-14,1.89E+07,,0.174403328,0.42959254,0.594026172
243.4586369,9.81E-07,5.19E-14,1.89E+07,,0.174403834,0.42959254,0.594024994
243.4607801,9.81E-07,5.19E-14,1.89E+07,,0.17440434,0.42959254,0.594023816
243.4629233,9.81E-07,5.19E-14,1.89E+07,,0.174404846,0.42959254,0.594022638
243.4650664,9.81E-07,5.19E-14,1.89E+07,,0.174405352,0.42959254,0.59402146
243.4672096,9.81E-07,5.19E-14,1.89E+07,,0.174405858,0.42959254,0.594020282
243.4693528,9.81E-07,5.19E-14,1.89E+07,,0.174406364,0.42959254,0.594019104
243.4714959,9.81E-07,5.19E-14,1.89E+07,,0.17440687,0.42959254,0.594017927
243.4736391,9.81E-07,5.19E-14,1.89E+07,,0.174407376,0.42959254,0.594016749
243.4757823,9.81E-07,5.19E-14,1.89E+07,,0.174407882,0.42959254,0.594015571
243.4779254,9.81E-07,5.19E-14,1.89E+07,,0.174408388,0.42959254,0.594014393
243.4800686,9.81E-07,5.19E-14,1.89E+07,,0.174408894,0.42959254,0.594013215
243.4822117,9.81E-07,5.19E-14,1.89E+07,,0.1744094,0.42959254,0.594012037
243.4843549,9.81E-07,5.19E-14,1.89E+07,,0.174409906,0.42959254,0.594010859
243.4864981,9.81E-07,5.19E-14,1.89E+07,,0.174410412,0.42959254,0.594009682
243.4886412,9.81E-07,5.19E-14,1.89E+07,,0.174410919,0.42959254,0.594008501
243.4907844,9.81E-07,5.19E-14,1.89E+07,,0.174411425,0.42959254,0.594007323
243.4929276,9.81E-07,5.19E-14,1.89E+07,,0.174411931,0.42959254,0.594006146
243.4950707,9.81E-07,5.19E-14,1.89E+07,,0.174412437,0.42959254,0.594004968
243.4972139,9.81E-07,5.19E-14,1.89E+07,,0.174412943,0.42959254,0.59400379
243.4993571,9.81E-07,5.19E-14,1.89E+07,,0.174413449,0.42959254,0.594002612
243.5015002,9.81E-07,5.19E-14,1.89E+07,,0.174413955,0.42959254,0.594001434
243.5036434,9.81E-07,5.19E-14,1.89E+07,,0.174414461,0.42959254,0.594000256
243.5057865,9.81E-07,5.19E-14,1.89E+07,,0.174414967,0.42959254,0.593999078
243.5079297,9.81E-07,5.19E-14,1.89E+07,,0.174415473,0.42959254,0.593997901
243.5100729,9.81E-07,5.19E-14,1.89E+07,,0.174415979,0.42959254,0.593996723
243.512216,9.81E-07,5.19E-14,1.89E+07,,0.174416485,0.42959254,0.593995545
243.5143592,9.81E-07,5.19E-14,1.89E+07,,0.174416991,0.42959254,0.593994367
243.5165024,9.81E-07,5.19E-14,1.89E+07,,0.174417497,0.42959254,0.593993189
243.5186455,9.81E-07,5.19E-14,1.89E+07,,0.174418003,0.42959254,0.593992011
243.5207887,9.81E-07,5.19E-14,1.89E+07,,0.174418509,0.42959254,0.593990833
243.5229318,9.81E-07,5.19E-14,1.89E+07,,0.174419015,0.42959254,0.593989656
243.525075,9.81E-07,5.19E-14,1.89E+07,,0.174419521,0.42959254,0.593988478
243.5272182,9.81E-07,5.19E-14,1.89E+07,,0.174420027,0.42959254,0.5939873
243.5293613,9.81E-07,5.19E-14,1.89E+07,,0.174420533,0.42959254,0.593986122
243.5315045,9.81E-07,5.19E-14,1.89E+07,,0.174421039,0.42959254,0.593984944
243.5336477,9.81E-07,5.19E-14,1.89E+07,,0.174421545,0.42959254,0.593983766
243.5357908,9.81E-07,5.19E-14,1.89E+07,,0.174422051,0.42959254,0.593982588
243.537934,9.81E-07,5.19E-14,1.89E+07,,0.174422557,0.42959254,0.593981411
243.5400772,9.81E-07,5.19E-14,1.89E+07,,0.174423063,0.42959254,0.593980233
